1731238861.754125 server started (23799): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1731238861.754137 on Linux 6.11.6-arch1-1 #1 SMP PREEMPT_DYNAMIC Fri, 01 Nov 2024 03:30:41 +0000
1731238861.754144 using libevent 2.1.12-stable poll
1731238861.754150 using utf8proc 2.9.0
1731238861.754152 using ncurses 6.5 20240427
1731238861.754277 input_key_build: 0x10e1bb (KP.) is .
1731238861.754279 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1731238861.754281 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1731238861.754283 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1731238861.754285 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1731238861.754288 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1731238861.754291 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1731238861.754293 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1731238861.754295 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1731238861.754297 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1731238861.754299 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1731238861.754301 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1731238861.754303 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1731238861.754306 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1731238861.754308 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1731238861.754310 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1731238861.754312 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1731238861.754315 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1731238861.754317 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1731238861.754319 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1731238861.754326 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1731238861.754328 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1731238861.754330 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1731238861.754333 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1731238861.754335 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1731238861.754337 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1731238861.754339 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1731238861.754341 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1731238861.754343 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1731238861.754345 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1731238861.754348 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1731238861.754350 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1731238861.754352 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1731238861.754354 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1731238861.754356 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1731238861.754359 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1731238861.754361 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1731238861.754363 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1731238861.754365 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1731238861.754367 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1731238861.754369 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1731238861.754372 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1731238861.754374 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1731238861.754376 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1731238861.754378 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1731238861.754381 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1731238861.754383 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1731238861.754386 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1731238861.754389 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1731238861.754391 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1731238861.754393 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1731238861.754395 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1731238861.754397 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1731238861.754400 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1731238861.754402 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1731238861.754404 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1731238861.754406 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1731238861.754408 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1731238861.754410 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1731238861.754413 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1731238861.754415 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1731238861.754417 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1731238861.754419 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1731238861.754421 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1731238861.754424 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1731238861.754426 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1731238861.754428 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1731238861.754430 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1731238861.754432 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1731238861.754435 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1731238861.754437 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1731238861.754439 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1731238861.754441 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1731238861.754443 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1731238861.754445 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1731238861.754448 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1731238861.754450 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1731238861.754455 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1731238861.754457 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1731238861.754459 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1731238861.754462 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1731238861.754464 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1731238861.754466 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1731238861.754468 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1731238861.754470 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1731238861.754473 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1731238861.754475 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1731238861.754477 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1731238861.754479 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1731238861.754482 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1731238861.754484 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1731238861.754487 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1731238861.754489 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1731238861.754491 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1731238861.754493 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1731238861.754496 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1731238861.754498 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1731238861.754500 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1731238861.754502 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1731238861.754505 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1731238861.754507 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1731238861.754509 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1731238861.754511 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1731238861.754513 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1731238861.754516 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1731238861.754518 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1731238861.754520 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1731238861.754524 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1731238861.754527 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1731238861.754529 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1731238861.754531 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1731238861.754534 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1731238861.754536 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1731238861.754538 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1731238861.754540 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1731238861.754543 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1731238861.754545 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1731238861.754547 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1731238861.754549 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1731238861.754552 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1731238861.754554 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1731238861.754556 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1731238861.754559 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1731238861.754561 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1731238861.754563 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1731238861.754566 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1731238861.754568 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1731238861.754570 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1731238861.754572 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1731238861.754575 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1731238861.754577 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1731238861.754579 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1731238861.754584 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1731238861.754587 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1731238861.754589 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1731238861.754592 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1731238861.754594 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1731238861.754596 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1731238861.754599 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1731238861.754601 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1731238861.754603 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1731238861.754606 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1731238861.754608 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1731238861.754610 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1731238861.754613 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1731238861.754615 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1731238861.754617 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1731238861.754620 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1731238861.754622 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1731238861.754624 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1731238861.754627 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1731238861.754629 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1731238861.754632 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1731238861.754634 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1731238861.754636 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1731238861.754639 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1731238861.754641 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1731238861.754643 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1731238861.754645 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1731238861.754648 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1731238861.754650 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1731238861.754652 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1731238861.754655 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1731238861.754657 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1731238861.754659 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1731238861.754661 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1731238861.754664 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1731238861.754666 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1731238861.754668 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1731238861.754671 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1731238861.754673 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1731238861.754676 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1731238861.754678 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1731238861.754681 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1731238861.754683 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1731238861.754696 yylex_token: end at WS
1731238861.754698 yylex_token: bind
1731238861.754701 yylex_token: end at WS
1731238861.754703 yylex_token: -N
1731238861.754705 yylex_token: end at WS
1731238861.754708 yylex_token: Send the prefix key
1731238861.754710 yylex_token: end at WS
1731238861.754712 yylex_token: C-b
1731238861.754714 yylex_token: end at WS
1731238861.754716 yylex_token: send-prefix
1731238861.754725 cmd_parse_build_commands 0:0: bind
1731238861.754727 cmd_parse_build_commands 0:1: -N
1731238861.754729 cmd_parse_build_commands 0:2: Send the prefix key
1731238861.754731 cmd_parse_build_commands 0:3: C-b
1731238861.754734 cmd_parse_build_commands 0:4 0:0: send-prefix
1731238861.754745 cmd_parse_build_commands 0:0: send-prefix
1731238861.754752 args_parse: flags end at 1 of 1
1731238861.754755 cmd_parse_build_commands: send-prefix
1731238861.754757 args_parse_flags: next -N
1731238861.754760 args_parse_flag_argument: -N = Send the prefix key
1731238861.754762 args_parse_flags: next C-b
1731238861.754764 args_parse: flags end at 3 of 5
1731238861.754766 args_parse: 3 = C-b (type STRING)
1731238861.754769 args_parse: 4 = send-prefix (type COMMANDS)
1731238861.754777 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1731238861.754781 cmdq_get_command: [bind-key/0x63318e7e2ab0] group 2
1731238861.754783 cmdq_append <global>: [bind-key/0x63318e7e2ab0]
1731238861.754787 yylex_token: end at WS
1731238861.754789 yylex_token: bind
1731238861.754791 yylex_token: end at WS
1731238861.754793 yylex_token: -N
1731238861.754795 yylex_token: end at WS
1731238861.754797 yylex_token: Rotate through the panes
1731238861.754799 yylex_token: end at WS
1731238861.754801 yylex_token: C-o
1731238861.754804 yylex_token: end at WS
1731238861.754806 yylex_token: rotate-window
1731238861.754809 cmd_parse_build_commands 0:0: bind
1731238861.754811 cmd_parse_build_commands 0:1: -N
1731238861.754813 cmd_parse_build_commands 0:2: Rotate through the panes
1731238861.754815 cmd_parse_build_commands 0:3: C-o
1731238861.754818 cmd_parse_build_commands 0:4 0:0: rotate-window
1731238861.754821 cmd_parse_build_commands 0:0: rotate-window
1731238861.754824 args_parse: flags end at 1 of 1
1731238861.754827 cmd_parse_build_commands: rotate-window
1731238861.754829 args_parse_flags: next -N
1731238861.754831 args_parse_flag_argument: -N = Rotate through the panes
1731238861.754833 args_parse_flags: next C-o
1731238861.754835 args_parse: flags end at 3 of 5
1731238861.754838 args_parse: 3 = C-o (type STRING)
1731238861.754840 args_parse: 4 = rotate-window (type COMMANDS)
1731238861.754845 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1731238861.754848 cmdq_get_command: [bind-key/0x63318e7e3050] group 10
1731238861.754850 cmdq_append <global>: [bind-key/0x63318e7e3050]
1731238861.754853 yylex_token: end at WS
1731238861.754855 yylex_token: bind
1731238861.754857 yylex_token: end at WS
1731238861.754858 yylex_token: -N
1731238861.754861 yylex_token: end at WS
1731238861.754863 yylex_token: Suspend the current client
1731238861.754865 yylex_token: end at WS
1731238861.754867 yylex_token: C-z
1731238861.754870 yylex_token: end at WS
1731238861.754872 yylex_token: suspend-client
1731238861.754874 cmd_parse_build_commands 0:0: bind
1731238861.754876 cmd_parse_build_commands 0:1: -N
1731238861.754879 cmd_parse_build_commands 0:2: Suspend the current client
1731238861.754881 cmd_parse_build_commands 0:3: C-z
1731238861.754883 cmd_parse_build_commands 0:4 0:0: suspend-client
1731238861.754885 cmd_parse_build_commands 0:0: suspend-client
1731238861.754890 args_parse: flags end at 1 of 1
1731238861.754892 cmd_parse_build_commands: suspend-client
1731238861.754894 args_parse_flags: next -N
1731238861.754896 args_parse_flag_argument: -N = Suspend the current client
1731238861.754898 args_parse_flags: next C-z
1731238861.754900 args_parse: flags end at 3 of 5
1731238861.754903 args_parse: 3 = C-z (type STRING)
1731238861.754905 args_parse: 4 = suspend-client (type COMMANDS)
1731238861.754909 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1731238861.754912 cmdq_get_command: [bind-key/0x63318e7e1650] group 18
1731238861.754914 cmdq_append <global>: [bind-key/0x63318e7e1650]
1731238861.754917 yylex_token: end at WS
1731238861.754919 yylex_token: bind
1731238861.754921 yylex_token: end at WS
1731238861.754923 yylex_token: -N
1731238861.754925 yylex_token: end at WS
1731238861.754927 yylex_token: Select next layout
1731238861.754929 yylex_token: end at WS
1731238861.754931 yylex_token: Space
1731238861.754933 yylex_token: end at WS
1731238861.754935 yylex_token: next-layout
1731238861.754937 cmd_parse_build_commands 0:0: bind
1731238861.754943 cmd_parse_build_commands 0:1: -N
1731238861.754945 cmd_parse_build_commands 0:2: Select next layout
1731238861.754947 cmd_parse_build_commands 0:3: Space
1731238861.754949 cmd_parse_build_commands 0:4 0:0: next-layout
1731238861.754952 cmd_parse_build_commands 0:0: next-layout
1731238861.754955 args_parse: flags end at 1 of 1
1731238861.754957 cmd_parse_build_commands: next-layout
1731238861.754959 args_parse_flags: next -N
1731238861.754961 args_parse_flag_argument: -N = Select next layout
1731238861.754963 args_parse_flags: next Space
1731238861.754965 args_parse: flags end at 3 of 5
1731238861.754967 args_parse: 3 = Space (type STRING)
1731238861.754969 args_parse: 4 = next-layout (type COMMANDS)
1731238861.754974 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1731238861.754977 cmdq_get_command: [bind-key/0x63318e7e3cb0] group 26
1731238861.754979 cmdq_append <global>: [bind-key/0x63318e7e3cb0]
1731238861.754982 yylex_token: end at WS
1731238861.754983 yylex_token: bind
1731238861.754985 yylex_token: end at WS
1731238861.754987 yylex_token: -N
1731238861.754989 yylex_token: end at WS
1731238861.754991 yylex_token: Break pane to a new window
1731238861.754993 yylex_token: end at WS
1731238861.754995 yylex_token: !
1731238861.754997 yylex_token: end at WS
1731238861.754999 yylex_token: break-pane
1731238861.755002 cmd_parse_build_commands 0:0: bind
1731238861.755004 cmd_parse_build_commands 0:1: -N
1731238861.755006 cmd_parse_build_commands 0:2: Break pane to a new window
1731238861.755008 cmd_parse_build_commands 0:3: !
1731238861.755010 cmd_parse_build_commands 0:4 0:0: break-pane
1731238861.755012 cmd_parse_build_commands 0:0: break-pane
1731238861.755015 args_parse: flags end at 1 of 1
1731238861.755017 cmd_parse_build_commands: break-pane
1731238861.755019 args_parse_flags: next -N
1731238861.755022 args_parse_flag_argument: -N = Break pane to a new window
1731238861.755024 args_parse_flags: next !
1731238861.755025 args_parse: flags end at 3 of 5
1731238861.755028 args_parse: 3 = ! (type STRING)
1731238861.755030 args_parse: 4 = break-pane (type COMMANDS)
1731238861.755034 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1731238861.755037 cmdq_get_command: [bind-key/0x63318e7e4010] group 34
1731238861.755039 cmdq_append <global>: [bind-key/0x63318e7e4010]
1731238861.755042 yylex_token: end at WS
1731238861.755043 yylex_token: bind
1731238861.755045 yylex_token: end at WS
1731238861.755047 yylex_token: -N
1731238861.755049 yylex_token: end at WS
1731238861.755051 yylex_token: Split window vertically
1731238861.755053 yylex_token: end at WS
1731238861.755055 yylex_token: "
1731238861.755057 yylex_token: end at WS
1731238861.755059 yylex_token: split-window
1731238861.755061 cmd_parse_build_commands 0:0: bind
1731238861.755063 cmd_parse_build_commands 0:1: -N
1731238861.755066 cmd_parse_build_commands 0:2: Split window vertically
1731238861.755068 cmd_parse_build_commands 0:3: "
1731238861.755070 cmd_parse_build_commands 0:4 0:0: split-window
1731238861.755072 cmd_parse_build_commands 0:0: split-window
1731238861.755076 args_parse: flags end at 1 of 1
1731238861.755078 cmd_parse_build_commands: split-window
1731238861.755080 args_parse_flags: next -N
1731238861.755082 args_parse_flag_argument: -N = Split window vertically
1731238861.755084 args_parse_flags: next "
1731238861.755086 args_parse: flags end at 3 of 5
1731238861.755088 args_parse: 3 = " (type STRING)
1731238861.755090 args_parse: 4 = split-window (type COMMANDS)
1731238861.755095 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1731238861.755097 cmdq_get_command: [bind-key/0x63318e7e44b0] group 42
1731238861.755100 cmdq_append <global>: [bind-key/0x63318e7e44b0]
1731238861.755103 yylex_token: end at WS
1731238861.755105 yylex_token: bind
1731238861.755107 yylex_token: end at WS
1731238861.755109 yylex_token: -N
1731238861.755111 yylex_token: end at WS
1731238861.755113 yylex_token: List all paste buffers
1731238861.755115 yylex_token: end at WS
1731238861.755119 yylex_token: #
1731238861.755122 yylex_token: end at WS
1731238861.755124 yylex_token: list-buffers
1731238861.755126 cmd_parse_build_commands 0:0: bind
1731238861.755128 cmd_parse_build_commands 0:1: -N
1731238861.755130 cmd_parse_build_commands 0:2: List all paste buffers
1731238861.755132 cmd_parse_build_commands 0:3: #
1731238861.755134 cmd_parse_build_commands 0:4 0:0: list-buffers
1731238861.755137 cmd_parse_build_commands 0:0: list-buffers
1731238861.755140 args_parse: flags end at 1 of 1
1731238861.755142 cmd_parse_build_commands: list-buffers
1731238861.755144 args_parse_flags: next -N
1731238861.755147 args_parse_flag_argument: -N = List all paste buffers
1731238861.755149 args_parse_flags: next #
1731238861.755151 args_parse: flags end at 3 of 5
1731238861.755153 args_parse: 3 = # (type STRING)
1731238861.755155 args_parse: 4 = list-buffers (type COMMANDS)
1731238861.755159 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1731238861.755162 cmdq_get_command: [bind-key/0x63318e7e4a90] group 50
1731238861.755164 cmdq_append <global>: [bind-key/0x63318e7e4a90]
1731238861.755167 yylex_token: end at WS
1731238861.755168 yylex_token: bind
1731238861.755170 yylex_token: end at WS
1731238861.755172 yylex_token: -N
1731238861.755174 yylex_token: end at WS
1731238861.755176 yylex_token: Rename current session
1731238861.755178 yylex_token: end at WS
1731238861.755180 yylex_token: $
1731238861.755182 yylex_token: end at WS
1731238861.755184 yylex_token: command-prompt
1731238861.755186 yylex_token: end at WS
1731238861.755188 yylex_token: -I#S
1731238861.755190 yylex_token: end at WS
1731238861.755192 yylex_token: rename-session
